,drift_rate,f_start,snr,driftrate_idx,channel_idx,beam_idx,boxcar_size,n_integration
4997,-2.7838485193524893,8420.734503306448,16410325.0,291.0,233437.0,0.0,8.0,16.0
5057,-3.711798025803319,8420.698050409555,16346869.0,388.0,246484.0,0.0,8.0,16.0
5091,-3.644832597502744,8420.678867027164,16344212.0,381.0,253350.0,0.0,8.0,16.0
4655,-0.0765319180578004,8420.92649359256,16341741.0,8.0,164721.0,0.0,8.0,16.0
5124,-7.538393928693338,8420.659295283258,16336775.0,788.0,260355.0,0.0,8.0,16.0
4658,-0.2965611824739765,8420.924752950668,16335317.0,31.0,165344.0,0.0,8.0,16.0
4690,-6.639143891514184,8420.908925123513,16330935.0,694.0,171009.0,0.0,8.0,16.0
4818,-0.8418510986358043,8420.838254503906,16329667.0,88.0,196303.0,0.0,8.0,16.0
4968,-5.252002876716552,8420.752868056297,16328620.0,549.0,226864.0,0.0,8.0,16.0
4843,-2.4394548880923876,8420.824552886188,16326109.0,255.0,201207.0,0.0,8.0,16.0
4943,-3.635266107745519,8420.768751762807,16325634.0,380.0,221179.0,0.0,8.0,16.0
5086,-3.243040027699292,8420.682488009334,16321800.0,339.0,252054.0,0.0,8.0,16.0
5060,-7.0122369920459615,8420.696225948632,16320803.0,733.0,247137.0,0.0,8.0,16.0
4879,-7.74885670335229,8420.805268920958,16320578.0,810.0,208109.0,0.0,8.0,16.0
4726,-3.4248033330865675,8420.888976193964,16318650.0,358.0,178149.0,0.0,8.0,16.0
5106,-2.697750111537464,8420.669350773096,16318495.0,282.0,256756.0,0.0,8.0,16.0
4629,-6.5434789939419336,8420.942285098135,16316342.0,684.0,159069.0,0.0,8.0,16.0
5115,-6.85917315593036,8420.664338395,16316126.0,717.0,258550.0,0.0,8.0,16.0
4846,-7.854088090681765,8420.822694897652,16314631.0,821.0,201872.0,0.0,8.0,16.0
5012,-3.1856410891559412,8420.725596137345,16311609.0,333.0,236625.0,0.0,8.0,16.0
4833,-3.0230107632831156,8420.829785987735,16311588.0,316.0,199334.0,0.0,8.0,16.0
4932,-5.194603938173202,8420.775085687637,16311433.0,543.0,218912.0,0.0,8.0,16.0
4911,-1.4828059123698827,8420.786443166435,16310883.0,155.0,214847.0,0.0,8.0,16.0
4823,-4.620614552739699,8420.835354365408,16309603.0,483.0,197341.0,0.0,8.0,16.0
4950,-2.4298883983351627,8420.764474198222,16309012.0,254.0,222710.0,0.0,8.0,16.0
