
turbo_seti version 2.0.18
blimpy version 2.0.11
h5py version 2.10.0

Starting ET search using ./1x1048576.h5
Parameters: datafile=./1x1048576.h5, max_drift=8.0, min_drift=0.0001, snr=25.0, out_dir=./, coarse_chans=, flagging=False, n_coarse_chan=None, kernels=None, gpu_backend=False, precision=1, append_output=False, log_level_int=20, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}
Top hit found! SNR 12338.332031, Drift Rate -0.009566, index 524288
Top hit found! SNR 14102.143555, Drift Rate -0.009566, index 524288
Top hit found! SNR 15184.160156, Drift Rate -0.009566, index 524288
Top hit found! SNR 16870.027344, Drift Rate -0.009566, index 524288
Top hit found! SNR 17738.142578, Drift Rate -0.009566, index 524288
Top hit found! SNR 17066.269531, Drift Rate -0.009566, index 524288
Top hit found! SNR 15871.207031, Drift Rate -0.009566, index 524288
Top hit found! SNR 14897.964844, Drift Rate -0.009566, index 524288
Top hit found! SNR 14123.156250, Drift Rate -0.009566, index 524288
Top hit found! SNR 13282.970703, Drift Rate -0.009566, index 524288
Top hit found! SNR 12681.094727, Drift Rate -0.009566, index 524288
Top hit found! SNR 12582.931641, Drift Rate -0.009566, index 524288
Top hit found! SNR 13169.045898, Drift Rate -0.009566, index 524288
Top hit found! SNR 14118.590820, Drift Rate -0.009566, index 524288
Top hit found! SNR 14683.807617, Drift Rate -0.009566, index 524288
Top hit found! SNR 13978.870117, Drift Rate -0.009566, index 524288
Top hit found! SNR 24685.248047, Drift Rate -0.009566, index 524288
Top hit found! SNR 9655.879883, Drift Rate -0.009566, index 524288
Top hit found! SNR 7931.470703, Drift Rate -0.009566, index 524288
Top hit found! SNR 7039.687500, Drift Rate -0.009566, index 524288
Top hit found! SNR 6845.923340, Drift Rate -0.009566, index 524288
Top hit found! SNR 7162.233887, Drift Rate -0.009566, index 524288
Top hit found! SNR 7858.840820, Drift Rate -0.009566, index 524288
Top hit found! SNR 8537.144531, Drift Rate -0.009566, index 524288
Top hit found! SNR 8885.375977, Drift Rate -0.009566, index 524288
Top hit found! SNR 8573.501953, Drift Rate -0.009566, index 524288
Top hit found! SNR 7477.481445, Drift Rate -0.009566, index 524288
Top hit found! SNR 6358.937500, Drift Rate -0.009566, index 524288
Top hit found! SNR 5655.167480, Drift Rate -0.009566, index 524288
Top hit found! SNR 5358.814941, Drift Rate -0.009566, index 524288
Top hit found! SNR 5434.611816, Drift Rate -0.009566, index 524288
Top hit found! SNR 5606.007812, Drift Rate -0.009566, index 524288
Top hit found! SNR 10220.136719, Drift Rate -0.009566, index 524288
Top hit found! SNR 5854.245605, Drift Rate -0.009566, index 524288
Top hit found! SNR 5911.145508, Drift Rate -0.009566, index 524288
Top hit found! SNR 5682.416504, Drift Rate -0.009566, index 524288
Top hit found! SNR 5126.516602, Drift Rate -0.009566, index 524288
Top hit found! SNR 4592.396973, Drift Rate -0.009566, index 524288
Top hit found! SNR 4347.489258, Drift Rate -0.009566, index 524288
Top hit found! SNR 4472.049805, Drift Rate -0.009566, index 524288
Top hit found! SNR 4753.235352, Drift Rate -0.009566, index 524288
Top hit found! SNR 4866.045410, Drift Rate -0.009566, index 524288
Top hit found! SNR 4690.875000, Drift Rate -0.009566, index 524288
Top hit found! SNR 4422.304688, Drift Rate -0.009566, index 524288
Top hit found! SNR 4236.604492, Drift Rate -0.009566, index 524288
Top hit found! SNR 4130.117676, Drift Rate -0.009566, index 524288
Top hit found! SNR 4092.940186, Drift Rate -0.009566, index 524288
Top hit found! SNR 4151.560059, Drift Rate -0.009566, index 524288
Top hit found! SNR 4737.341797, Drift Rate -0.009566, index 524288
Top hit found! SNR 4817.198242, Drift Rate -0.009566, index 524288
Top hit found! SNR 5038.050781, Drift Rate -0.009566, index 524288
Top hit found! SNR 4964.699219, Drift Rate -0.009566, index 524288
Top hit found! SNR 4654.515625, Drift Rate -0.009566, index 524288
Top hit found! SNR 4214.949219, Drift Rate -0.009566, index 524288
Top hit found! SNR 3773.800537, Drift Rate -0.009566, index 524288
Top hit found! SNR 3447.055176, Drift Rate -0.009566, index 524288
Top hit found! SNR 3361.707520, Drift Rate -0.009566, index 524288
Top hit found! SNR 3473.316406, Drift Rate -0.009566, index 524288
Top hit found! SNR 3775.468506, Drift Rate -0.009566, index 524288
Top hit found! SNR 4160.861328, Drift Rate -0.009566, index 524288
Top hit found! SNR 4379.979004, Drift Rate -0.009566, index 524288
Top hit found! SNR 4247.598633, Drift Rate -0.009566, index 524288
Top hit found! SNR 3800.983643, Drift Rate -0.009566, index 524288
Top hit found! SNR 3314.647461, Drift Rate -0.009566, index 524288

===== Search time: 21.97 minutes
===== END OF LOG
